カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
													全裸 乳久里				
Lv50 パステル	パステル・カラー	５０	７１歳	１５５ｃｍ	？？	カラー女王	呪術２、魔法１	プライドが高く、人間……特にランスを敵視している	意地っ張りすぎて、理性的に行動できなくなることが	多々ある困った女王	"\"""	カラー女王のみが受け継ぐ強力な呪いを使う事が出来る	Lv50 パステル	Lv10 リセット			
													運命の女 パステル	Lv50 サクラ			
													スーパー パステル	Lv50 イージス			
													全裸 パステル	ハンティ			
													タイニー パステル	Lv42 ランス			
運命の女 パステル	パステル・カラー	５０	７１歳	１５５ｃｍ	？？	カラー女王	呪術２、魔法１	カラーの村人はあの男を英雄と持て囃す	愛娘リセットはいくら言っても懐いて離れん	妾は絶対、ぜったい、ぜぇーったい認めん！	・ランスとの間にリセットを生んでいる（ＬＰ６／６月）	・電卓迷宮：無し	Lv50 パステル	Lv10 リセット			
													運命の女 パステル	Lv50 サクラ			
													スーパー パステル	Lv50 イージス			
													全裸 パステル	ハンティ			
													タイニー パステル	Lv42 ランス			
スーパー パステル	パステル・カラー	５０	７１歳	１５５ｃｍ	？？	カラー女王	呪術２、魔法１	英霊が残したカラーの神具を身に付けたパステル	シルクウェアー アコーンハンマー クイーンスーツ	いずれも強力な力を秘めたバランスブレイカーであるが	うまく使いこなすには要領が必要	パステルには無かった	Lv50 パステル	英霊 モダン			
													運命の女 パステル	英霊 ビビッド			
													スーパー パステル	英霊 モダン			
													全裸 パステル				
													タイニー パステル				
タイニー パステル	ﾊﾟｽﾃﾙ･ｶﾗｰ	50	71ｻｲ	155ｾﾝﾁ	??	ｶﾗｰｼﾞｮｵｳ	ｼﾞｭｼﾞｭﾂ2,ﾏﾎｳ1	ﾇﾜｰﾅﾝｼﾞｬｺﾉｶﾗﾀﾞﾊ!	ｶｸｶｸﾆﾅｯﾃｼﾏｯﾀﾃﾞﾊﾅｲｶ	ﾘｾｯﾄ ﾘｾｯﾄｰ!	"\"""	"\"""	Lv50 パステル	タイニー リセット			
													運命の女 パステル	タイニー ランス			
													スーパー パステル	タイニー クルックー			
													全裸 パステル	タイニー ピグ			
													タイニー パステル	タイニー ナギ			
全裸 パステル	パステル・カラー	５０	７１歳	１５５ｃｍ	？？	カラー女王	呪術２、魔法１	カラーの女王は代々儀式によって性交せずに子を成した	その儀式の最中にランスに犯されてしまった	"\"""	復讐のため、勝負を挑んだが返り討ちにあい	さらにこっぴどく犯されてしまった	Lv50 パステル	Lv10 リセット			
													運命の女 パステル	Lv50 サクラ			
													スーパー パステル	Lv50 イージス			
													全裸 パステル	ハンティ			
													タイニー パステル	Lv42 ランス			
Lv10 リセット	リセット・カラー	１０	１歳	１２５ｃｍ	？？	カラー姫	弓１、魔法１、幸運１	ランスとパステルの娘	好奇心旺盛で誰にでも懐く元気いっぱいの女の子	父親に似て非常にわんぱくに育っている	"\"""	おとーさんもおかーさんも大好き	Lv10 リセット	Lv50 パステル			
													Lv42 リセット	Lv42 ランス			
													タイニー リセット	Lv43 ナギ			
														Lv50 アカシロ			
Lv42 リセット	リセット・カラー	４２	１歳	１２５ｃｍ	？？	カラー姫	弓１、魔法１、幸運１	カラーの並外れた魔力。ランス譲りの頑丈な体	まだまだ小さく未熟だが、その可能性は無限大に広がる	"\"""	ビンタをすることで相手を正気に戻す力	「クラウゼンの手」を持つ	Lv10 リセット	Lv50 パステル			
													Lv42 リセット	Lv42 ランス			
													タイニー リセット	Lv43 ナギ			
														Lv50 アカシロ			
タイニー リセット	ﾘｾｯﾄ･ｶﾗｰ	10	1	125ｾﾝﾁ	??	ｶﾗｰﾋﾒ	ﾕﾐ1､ﾏﾎｳ1､ｺｳｳﾝ1	ｵﾄｰｻﾝｵｶｰｻﾝﾐﾝﾅｶｸｶｸﾆﾅｯﾁｬｯﾀﾈ	ｶﾞﾊﾊﾊﾊﾊ ｸﾞｯﾄﾞﾀﾞｰ!	"\"""	"\"""	"\"""	Lv10 リセット	タイニー パステル			
													Lv42 リセット	タイニー ランス			
													タイニー リセット	タイニー ナギ			
														タイニー ピグ			
														タイニー ミラクル			
Lv50 サクラ	サクラ・カラー	５０	６６歳	１５３ｃｍ	？？	カラー事務総長	魔法１、政治１	パステルの妹	女王の補佐として、パステルの相談役になっている	自分を押し出さず、物事をそつなくこなす	"\"""	"\"""	Lv50 サクラ	Lv50 パステル			
													全裸 サクラ	Lv10 リセット			
														Lv50 イージス			
														Lv50 アカシロ			
全裸 サクラ	サクラ・カラー	５０	６６歳	１５３ｃｍ	？？	カラー事務総長	魔法１、政治１	カラーの中では保守的な思想	人間の男に興味は無い	"\"""	正直に言えば若いころは興味をもっていたが	今はもうそんな年でもない	Lv50 サクラ	Lv50 パステル			
													全裸 サクラ	Lv10 リセット			
														Lv50 イージス			
														Lv50 アカシロ			
Lv50 イージス	イージス・カラー	５０	５６歳	１７０ｃｍ	？？	カラー防衛隊長	弓１	村を守るため力を尽くす強く真面目な女性	嘘が大嫌い。心優しく部下想いで、	カラーの娘を守るためなら命を惜しまない	カラーの村一番の弓の名手である	"\"""	Lv50 イージス	Lv50 パステル			
													Lv40 イージス	Lv10 リセット			
													全裸 イージス	Lv50 サクラ			
Lv40 イージス	イージス・カラー	４０	５６歳	１７０ｃｍ	？？	カラー防衛隊長	弓１	幼いころに姉妹を人間に攫われ、犯されて	額のクリスタルを引き抜かれている。	このことから極度に人間嫌いとなったイージスは	弓の腕を磨き上げ、ペンシルカウを守る	鉄壁の盾となることを誓った	Lv50 イージス	Lv50 パステル			
													Lv40 イージス	Lv10 リセット			
													全裸 イージス	Lv50 サクラ			
全裸 イージス	イージス・カラー	５０	５６歳	１７０ｃｍ	？？	カラー防衛隊長	弓１	部下を助けるため人間に捕まり集団にレイプされた	（一番乗りはランスだった）	"\"""	その後記憶を失い、ランスを恋人だと思い込まされ	ラブラブエッチを強要されている	Lv50 イージス	Lv50 パステル			
													Lv40 イージス	Lv10 リセット			
													全裸 イージス	Lv50 サクラ			
英霊 フル	フル・カラー	５０	"\"""	１７１ｃｍ	０ｋｇ	カラーの英霊	呪術２、魔法２	三代前のカラーの女王。パステルの曽祖母	己を縛るあらゆる束縛に抗い	どこまでも我を通し続けた女性	天使か悪魔になるというカラーの運命さえも拒絶し、	自らの意思で英霊となった	英霊 フル	英霊 ビビッド			
													憑依 フル	英霊 モダン			
													全裸 フル	Lv50 パステル			
														Lv10 リセット			
憑依 フル	フル・カラー	５０	"\"""	１７１ｃｍ	？？	カラーの英霊	呪術２、魔法２	自由奔放に生きたフルであるが、	まだまだやりたかったことはたくさんあるらしく	パステルの体に取り憑いた時は、そのまま体を奪って	好き勝手やってやろうと企んだ	今は興味なさげにしているが、油断ならない	英霊 フル	英霊 ビビッド			
													憑依 フル	英霊 モダン			
													全裸 フル	Lv50 パステル			
														Lv10 リセット			
全裸 フル	フル・カラー	５０	"\"""	１７１ｃｍ	０ｋｇ	カラーの英霊	呪術２、魔法２	フルは過去に一度ずつ、天使と悪魔に転生しかけた	この時クリスタルの色は固定されているが	実際には、生前にセックス経験がある	ビビッドはその時生まれた３人の娘の一人	"\"""	英霊 フル	英霊 ビビッド			
													憑依 フル	英霊 モダン			
													全裸 フル	Lv50 パステル			
														Lv10 リセット			
英霊 ビビッド	ビビッド・カラー	４０	"\"""	１３７ｃｍ	０ｋｇ	カラーの英霊	呪術１、魔法２、政治１	カラーの二代前の女王でパステルの祖母	自由奔放な母フルを反面教師としたせいで	非常に真面目で規律正しい性格となった	"\"""	現在のカラーの掟の多くを作り上げた人物	英霊 ビビッド	英霊 フル			
													憑依 ビビッド	英霊 モダン			
													全裸 ビビッド	Lv50 パステル			
														Lv10 リセット			
憑依 ビビッド	ビビッド・カラー	４０	"\"""	１３７ｃｍ	？？	カラーの英霊	呪術１、魔法２、政治１	パステルに憑依して肉体を得たビビッド	本人の身体能力は極めて低いが	自らの魔力で生み出したクリスタルを	周囲に展開し、敵の攻撃を阻みつつ	強力な魔法を打ち込んでくる	英霊 ビビッド	英霊 フル			
													憑依 ビビッド	英霊 モダン			
													全裸 ビビッド	Lv50 パステル			
														Lv10 リセット			
全裸 ビビッド	ビビッド・カラー	４０	"\"""	１３７ｃｍ	０ｋｇ	カラーの英霊	呪術１、魔法２、政治１	見るからに未成熟な体のビビッドだが	カラーの長として、たくさんの子を	産まねばならないと、人工授精により	７人の子を儲けている	"\"""	英霊 ビビッド	英霊 フル			
													憑依 ビビッド	英霊 モダン			
													全裸 ビビッド	Lv50 パステル			
														Lv10 リセット			
英霊 モダン	モダン・カラー	２０	"\"""	１５５ｃｍ	０ｋｇ	カラーの英霊	呪術１、魔法１	カラーの先代女王でありパステルの母親	カラー史上最多となる５０人の子供を産んだ	"\"""	おだやかな性格で人間に対する警戒や偏見も	カラーとして人並より薄かった	英霊 モダン	英霊 ビビッド			
													憑依 モダン	Lv50 パステル			
													全裸 モダン	英霊 フル			
														Lv10 リセット			
憑依 モダン	モダン・カラー	２０	"\"""	１５５ｃｍ	？？	カラーの英霊	呪術１、魔法１	パステルの度重なる失態によって	カラー女王の威信が地に落ちた時、	その名誉を回復せんと	３人の英霊は、パステルの肉体に憑依し	ランス打倒のため戦った。	英霊 モダン	英霊 ビビッド			
													憑依 モダン	Lv50 パステル			
													全裸 モダン	英霊 フル			
														Lv10 リセット			
全裸 モダン	モダン・カラー	２０	"\"""	１５５ｃｍ	０ｋｇ	カラーの英霊	呪術１、魔法１	人間に対して寛容な態度で接してきたモダンだが	それでも掟にしたがい、性交渉はしなかった。	５０人の子はすべて、人工授精によって生んでいる	パステルの肉体に憑依したとき、ランスと初めての	セックスはとても気持ちが良かった。	英霊 モダン	英霊 ビビッド			
													憑依 モダン	Lv50 パステル			
													全裸 モダン	英霊 フル			
														Lv10 リセット			
ポピンズ 三菱王	三菱王	１１	１６歳	５４ｃｍ	１４ｋｇ	アニャガス王国国王	からくり１	ポピンズの王国を治める厳格な王様	民に優しく、身内に厳しい立派な人	"\"""	"\"""	"\"""	ポピンズ 三菱王	ポピンズ 東芝王子			
														ポピンズ 満鉄王			
ポピンズ 満鉄王	満鉄王	１０	１５歳	５２ｃｍ	１６ｋｇ	アレルギー超大国国王	からくり１	国一番のからくり技師にして	国一番の変態親父	"\"""	国民には信頼されているらしい	"\"""	ポピンズ 満鉄王	ポピンズ 日立姫			
														ポピンズ 三菱王			
ポピンズ 日立姫	日立姫	２０	５歳	４２ｃｍ	？？	アレルギー超大国王女	からくり１	満鉄王の愛娘	思い込みが激しく	走り出したら止まらない情熱的な性格	"\"""	"\"""	ポピンズ 日立姫	ポピンズ 東芝王子			
														ポピンズ 満鉄王			
ポピンズ 東芝王子	東芝王子	１４	６歳	４８ｃｍ	１０ｋｇ	アニャガス王国王子	からくり２	三菱王の息子	"\"""	からくりの技術も高く	王子として将来を有望視されている	"\"""	ポピンズ 東芝王子	ポピンズ 三菱王			
ハンティ	ハンティ・カラー	８８	５０００歳以上	１７０ｃｍ	？？	冒険者	魔法３	太古より「黒髪のカラー」の名で知られる伝説的存在	カラーの間では「始祖様」と呼ばれ敬われている	その正体はドラゴンの時代のカラー	亡きパットンの母パエリナの親友	パットンの母代わり、そして恋人でもある	ハンティ	Lv54 パットン			
													全裸 ハンティ	Lv45 ヒューバート			
														Lv50 パステル			
														英霊 フル			
														Lv64 ヒーロー			
全裸 ハンティ	ハンティ・カラー	８８	５０００歳以上	１７０ｃｍ	？？	冒険者	魔法３	ドラゴンカラーハンティの額のそれは	ヒューマンカラーのクリスタルとは異なり	処女を失っても青くなることは無い	それを置いても、ハンティはまだ男を知らない	とりあえず今のところは	ハンティ	Lv54 パットン			
													全裸 ハンティ	Lv45 ヒューバート			
														Lv50 パステル			
														英霊 フル			
														Lv64 ヒーロー			
キャンテル	キャンテル	５０	５０００歳以上	５ｍ	２ｔ	ランス城物資運搬係	ドラゴン１	聖魔教団と契約を交わし	闘神都市ユプシロンを守護していたドラゴン	"\"""	風邪を引き動けなくなっていたところを	ランスに助けてもらった	キャンテル	ハンティ			
														Lv54 パットン			
														Lv45 ヒューバート			
闘神 ゼータ	ゼータ	？？	？？？	５．２ｍ	５ｔ	闘神	聖魔法１	ゼスの魔法博物館に展示されていた闘神	本体はランス城に安置された聖櫃である	聖櫃から大きく離れることはできない	"\"""	"\"""	闘神 ゼータ	Lv39 シーラ			
														Lv54 パットン			
														ハンティ			
														闘神 シグマ			
闘神 シグマ	シグマ	？？	？？？	５．０ｍ	４ｔ	闘神	聖魔法１、からくり２	珍しい魔法使いのポピンズが闘神と化した存在	聖魔教団の機械技術に大きく貢献した技術者	"\"""	フリークとはＭＭルーンと出会う前からの友人であった	"\"""	闘神 シグマ	Lv39 シーラ			
														Lv54 パットン			
														ハンティ			
														闘神 ゼータ			
														ポピンズ 東芝王子			
ホルス メガッス	メガッス	？？	？？？歳	１７３ｃｍ	２２ｋｇ	ホルス警備隊	？？	熟練のホルスの戦士	皆に先生と慕われている	"\"""	戦闘ではなく習字の先生	"\"""	ホルス メガッス	ホルス メガワス			
														ホルス メガフォース			
														ホルス テラ			
ホルス メガワス	メガワス	？？	？？？歳	１７５ｃｍ	２５ｋｇ	ホルス警備隊	？？	見た目にそぐわぬ柔らかな乙女心を持つホルス戦士	"\"""	実はヌヌススがエペネススス（驚愕の事実）	"\"""	"\"""	ホルス メガワス	ホルス メガッス			
														ホルス メガフォース			
														ホルス テラ			
ホルス メガフォース	メガフォース	？？	？？？歳	１７６ｃｍ	２８．７ｋｇ	ホルス警備隊	？？	ホルスの戦士	"\"""	血気盛んな若者で	ホルスの格闘大会で優勝したこともある	"\"""	ホルス メガフォース	ホルス メガッス			
														ホルス メガワス			
														ホルス テラ			
ホルス テラ	テラ	？？	？？？歳	１６６ｃｍ	１５ｋｇ	ホルス女王	？？	女王種として、生まれながらに威厳と気品を	兼ねそろえたホルス界を統べる女性	"\"""	その美しさに月は嫉妬し、星々は輝きを増す	――ホルスの国では	ホルス テラ	ホルス メガッス			
														ホルス メガワス			
														ホルス メガフォース			
謎商人 プルーペット	プルーペット	？？？	永遠の２２歳	５０ｃｍ	８ｋｇ	商人	商売１	どこからともなく現れ誰とでも商売する謎の商人	お金儲けが大好きで、人の足元を見るのが得意	"\"""	"\"""	額に生える毛は大人毛（おとなげ）生えると成人の証	謎商人 プルーペット	Lv27 コパンドン			
														レベル神 ミカン			
Lv50 アカシロ	アカシロ・カラー	５０	００歳	１５８ｃｍ	？？	リセットの乳母	弓１、子育て１	パステルの妹の一人	リセットの護衛兼教育係を務めている	"\"""	昔はやんちゃで、	若い男と恋に落ちたこともあるとか。	Lv50 アカシロ	Lv10 リセット			
													全裸 アカシロ	Lv50 パステル			
														Lv50 サクラ			
全裸 アカシロ	アカシロ・カラー	５０	００歳	１５８ｃｍ	？？	リセットの乳母	弓１、子育て１	村の掟を破って人間の男と恋仲になったアカシロは	一時、カラーの村から追放されたが男を自らの手で	殺したことで、罪を雪ぎ村に帰ることができた。	実は病に伏した男が、彼女のため自ら命を絶った	４０年前の思い出。	Lv50 アカシロ	Lv10 リセット			
													全裸 アカシロ	Lv50 パステル			
														Lv50 サクラ			
ポピンズ アスベスト	アスベスト	４８	１２歳	５０ｃｍ	１１ｋｇ	アレルギー超大国親衛隊長	盗賊２	ポピンズ一の戦士で、ポピンズ一の悪戯好き。	"\"""	性格に難はあるが、腕は立つ。	そして、性格の難はあまり問題にされないお国柄	"\"""	ポピンズ アスベスト	ポピンズ 満鉄王			
魔物 拷問戦士	拷問戦士	？？	？？	１８０ｃｍ	１２０ｋｇ	男の子モンスター	"\"""	"\"""	"\"""	"\"""	"\"""	"\"""	魔物 拷問戦士	"\"""			
魔物 きゃんきゃん	きゃんきゃん	？？	？？	１４０～１７０ｃｍ	？？	女の子モンスター	？？	最弱の女の子モンスター	攻撃力はほとんど無く、誰に対してもニコニコと	遊びに誘ってくる	"\"""	弱く無警戒なモンスターだが、何故か絶滅しない	魔物 きゃんきゃん	"\"""			
魔物 幸福きゃんきゃん	幸福きゃんきゃん	？？	？？	１４０～１７０ｃｍ	？？	女の子モンスター	？？	きゃんきゃんの突然変異	莫大な経験値を持つ冒険者のアイドル	"\"""	一見普通のきゃんきゃんと変わりないように見えるが	生で見るとオーラが違う。冒険者にはわかる	魔物 幸福きゃんきゃん	"\"""			
魔物 ９７チハ	９７チハ	？？	？？	１４０～１６０ｃｍ	？？	女の子モンスター	？？	ブリキの砲台と紙装甲でがんばる女の子モンスター	"\"""	頭の大砲はにほん兵さんに	操作してもらわないと発射できない	"\"""	魔物 ９７チハ	"\"""			
魔物 ラルカット	ラルカット	？？	？？	１４５～１７０ｃｍ	？？	女の子モンスター	？？	こうもりタイプの女の子モンスター	すばしっこく捕まえるのが厄介	"\"""	普段はクールだが、夜は甘えんぼ	"\"""	魔物 ラルカット	"\"""			
魔物 メイドさん	メイドさん	？？	？？	１４０～１６０ｃｍ	？？	女の子モンスター	？？	他人のお世話をするのが大好きなみんなの人気者	家に飼えば勝手にお掃除してくれる	"\"""	いつもダンジョンが綺麗なのは彼女のおかげです	"\"""	魔物 メイドさん	"\"""			
魔物 フローズン	フローズン	？？	？？	１４０～１７０ｃｍ	？？	女の子モンスター	？？	彼女を抱いた者は最高の快楽と引き換えに	体温を奪われ、幸福のうちに凍死するという	年若い少年を好む	"\"""	雪うさぎが天敵	魔物 フローズン	"\"""			
魔物 マジスコ	マジック・スコルピオン	？？	？？	１４０～１７０ｃｍ	？？	女の子モンスター	？？	その名のとおり魔法タイプのモンスター	「火爆破」に気をつけろ！	"\"""	正式名称よりも略称で呼ばれることが多い	"\"""	魔物 マジスコ	"\"""			
魔物 バルキリー	バルキリー	？？	？？	１５０～１８０ｃｍ	？？	女の子モンスター	？？	神の血が混じっているという戦闘種族	脅威の回避力を誇るスピード特化の格闘タイプ	"\"""	彼女と子を作るのが男の子モンスターの最高の	ステータスだといわれ、いつも戦っている	魔物 バルキリー	"\"""			
魔物 神風	神風	？？	？？	１５０～１７０ｃｍ	？？	女の子モンスター	？？	百発百中の弓の威力は脅威	その戦闘力は中・上級冒険者の大きな壁となる	"\"""	和系モンスターの中で特に礼儀作法に厳しい	"\"""	魔物 神風	"\"""			
魔物 ハチ女	ハチ女	？？	？？	約２０ｃｍ	？？	女の子モンスター	？？	小型の女の子モンスター	「ハチの一刺し」は多くの冒険者の命を奪ってきた	"\"""	こんな姿でも男の子モンスターとセックスできる	というのだから恐ろしい	魔物 ハチ女	"\"""			
絶魔物 はいからちゃん	はいからちゃん	？？	？？	１４０～１６０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	ＪＡＰＡＮの和服に身を包んだ女の子モンスター	銃剣で戦うその戦闘力は中々侮れない	"\"""	潔癖でウブなところがあり異性と会話するのは	とてもエッチなことだと思ってる	絶魔物 はいからちゃん	"\"""			
絶魔物 シャチ子	シャチ子	？？	？？	１１０～１８０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	海の殺し屋と称される女の子モンスター	海に好んで生息する性質らしく数が減っている	"\"""	捕らえた獲物を群れでもてあそんで楽しむ	残虐な一面を持ち合わせている	絶魔物 シャチ子	"\"""			
絶魔物 ガルバン	ガルバン	？？	？？	１３０～１７０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	言動こそ荒っぽいが弱きを助け強きを挫く	一本筋の通ったバンカラ女の子モンスター	喧嘩を三度の飯より好む	"\"""	女の子扱いされると顔を真っ赤にして逃げ出す習性を持つ	絶魔物 ガルバン	"\"""			
絶魔物 めぽら	めぽら	？？	？？	１６５ｃｍ	？？	絶滅危惧種女の子モンスター	？？	両目が見えない身ながら	仕込み杖から放たれる刀の一閃は神速の一言	"\"""	一見すると近寄りがたいが性格は飄々としており	悪は見過ごせない義の者でもある	絶魔物 めぽら	"\"""			
絶魔物 上野花子	上野花子	？？	？？	１４０～１８０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	額から長い鼻が生えている不思議な女の子モンスター	"\"""	こう見えてその怪力は凄まじくどんな敵にも負けない	……らしいのだが何しろ常にひもじいので力が出ない	いつだって絶滅寸前	絶魔物 上野花子	"\"""			
絶魔物 ミイラン	ミイラン	？？	？？	１３０～１７０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	迷宮の奥深くなどに隠した棺の中で	長い眠りにつく女の子モンスター	その習性のせいで出会いがなく絶滅の危機に	"\"""	何故か自分のことを王だと思っており非常に尊大	絶魔物 ミイラン	"\"""			
絶魔物 鉄腕ラブル	鉄腕ラブル	？？	？？	１２０～１５０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	小柄な体に無限の破壊力を秘めた女の子モンスター	"\"""	自分よりも強いと認めた相手を好む習性を持つ	転じれば弱い相手には抱かれたがらない	挑戦する男の子モンスターは絶えないとか	絶魔物 鉄腕ラブル	"\"""			
絶魔物 男装女	男装女	？？	？？	１６０～１７０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	グラマーな体に長い金髪で、	男の子モンスターにモテモテな女の子モンスター	"\"""	しょっちゅう襲われるので男装をしているが	バレバレの為、乱獲が進み絶滅の危機に	絶魔物 男装女	"\"""			
絶魔物 体育スター	体育スター	？？	？？	１５０～１７０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	運動神経抜群の女の子モンスター	Ａクイック・Ｂクイックなどの攻撃をしかけてくる	"\"""	熱血スポーツ女の子モンスターでありブルマ	絶滅の危機に瀕している	絶魔物 体育スター	"\"""			
絶魔物 手裏剣使い	手裏剣使い	？？	？？	１４０～１６０ｃｍ	？？	絶滅危惧種女の子モンスター	？？	巨大な手裏剣を体の一部のように扱う	ちょっと危険な女の子モンスター	"\"""	なんとその正体は作り物の人形	力を失うと元の姿に戻ってしまう	絶魔物 手裏剣使い	"\"""			
魔物隊長 ラカン	ラカン	５３	３００歳以上	３ｍ	１０００ｋｇ	魔物隊長	"\"""	突然変異種のモンスターで、異常な生命力を持って	生まれ、魔物としても規格外の長寿を誇っている	"\"""	ホーネットが生まれた時から仕えており	彼女に深く忠誠を誓っている	魔物隊長 ラカン	"\"""			
魔物 王様	王様	４５	？？？	２．６ｍ	３ｔ	マエリータ隊部隊長	ガード１	るろんたの突然変異種	"\"""	仲間から排斥されることの多い突然変異種にあって	同種族の尊敬を集める圧倒的カリスマの持ち主	"\"""	魔物 王様	魔物 学者			
														魔物 マッスル			
														魔物 ニードル			
														魔物 剣豪			
														魔物 アパッチ			
魔物 剣豪	剣豪	５５	？？？	１３３ｃｍ	４４ｋｇ	マエリータ隊部隊長	剣２	サメラ～イの突然変異種	"\"""	ひたすらに強さだけを求め、常に鍛錬を怠らない	学問にも精通しているがそれを発揮するには	語彙が足りない	魔物 剣豪	魔物 学者			
														魔物 マッスル			
														魔物 王様			
														魔物 ニードル			
														魔物 アパッチ			
魔物 アパッチ	アパッチ	５８	？？？	１９０ｃｍ	６９ｋｇ	マエリータ隊部隊長	斧１	ヤンキーの突然変異種ネイティブヤンキー	"\"""	戦士としての誇りを重んじ、命を惜しまない男	アクセサリーはお洒落	"\"""	魔物 アパッチ	魔物 学者			
														魔物 剣豪			
														魔物 マッスル			
														魔物 王様			
														魔物 ニードル			
魔物 学者	学者	５０	？？？	１２１ｃｍ	３６ｋｇ	マエリータ隊隊長	魔法２	アカメの突然変異	高い知能を有し、学識豊かで多くの魔物に頼られている	その知性ゆえに魔物としての有りかたを思索してきた	"\"""	"\"""	魔物 学者	魔物 マッスル			
														魔物 王様			
														魔物 ニードル			
														魔物 剣豪			
														魔物 アパッチ			
魔物 マッスル	マッスル	６０	？？？	１８３ｃｍ	７２ｋｇ	マエリータ隊部隊長	"\"""	脅威の体脂肪率０パーセントを誇る	ぶたバンバラの突然変異種	"\"""	乱暴者だが仲間想い	学者とは昔は仲が悪かったが今では無二の親友	魔物 マッスル	魔物 学者			
														魔物 ニードル			
														魔物 王様			
														魔物 剣豪			
														魔物 アパッチ			
魔物 ニードル	ニードル	４０	？？？	２２ｃｍ	８５０ｇ	マエリータ隊部隊長	"\"""	ハチ女の突然変異種スズメバチ女	普通のハチ女と違って蜜が作れない	"\"""	怒りん坊で口が悪いが、本当はさびしがりや	"\"""	魔物 ニードル	魔物 学者			
														魔物 王様			
														魔物 マッスル			
														魔物 剣豪			
														魔物 アパッチ			
グリーンハニー	グリーンハニー	？？	？？	１５０ｃｍ	１５０ｋｇ	ハニー	ハニー１	よくみかける緑色のハニー	普通の茶色いハニーより少し強い	"\"""	手に持つ武器の名は「トライデン」	"\"""	グリーンハニー	ハニーキング			
ブルーハニー	ブルーハニー	？？	？？	１５０ｃｍ	１５０ｋｇ	ハニー	ハニー１	グリーンハニーより気持ち強いハニー	その色はクール。左利きなところもクール	"\"""	赤と緑に挟まれて、なんだか微妙に悲しい地味さがある	"\"""	ブルーハニー	ハニーキング			
レッドハニー	レッドハニー	？？	？？	１５０ｃｍ	１５０ｋｇ	ハニー	ハニー１	熱く激しい真っ赤なハニー	"\"""	なかなかの強さを見せる中級冒険者の脅威	両手のトライデンが威圧的だ	"\"""	レッドハニー	ハニーキング			
ハニ子	ハニ子	？？	？？？	１５０ｃｍ	１５０ｋｇ	ハニー	ハニー１	ハニーのメス	"\"""	オスハニーはハニ子と土をコネコネすることで子を作る	ハニ子を射止めるにはロマンチックな	愛の言葉を囁かなくてはならない	ハニ子	ハニーキング			
ハニーキング	ハニーキング	？？	？？？歳	１８０ｃｍ	１８０ｋｇ	ハニーキング	ハニー３	全てのハニーの頂点に立つ偉大なるハニーの王	"\"""	眼鏡っこをこよなく愛している	不幸な女の子も愛する	あとコロッケも愛する	ハニーキング	ハニ子			
														Lv3 ジュリア			
														Lv40 マリア			
														Lv40 マジック			
														Lv50 千鶴子			
魔物 イカマン	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 メイジマン	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ヤンキー	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ポリマン	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
